product_id,reviewer_id,comment,comment_time,rating
76,73,I’ve recommended this to all my friends and family. It’s that good!,2024-01-24,1.1
6,79,"I use this product daily, and it has never let me down. A great investment!",2024-04-28,2.8
20,36,"I use this product daily, and it has never let me down. A great investment!",2024-02-04,2.9
16,69,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024-01-30,2.0
44,47,"The packaging was great, and it arrived quickly. No complaints!",2024-06-05,5.0
61,78,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024-10-08,4.6
66,62,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024-08-10,2.6
39,31,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024-06-20,3.6
17,32,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024-02-02,3.1
60,100,I’ve recommended this to all my friends and family. It’s that good!,2024-09-27,4.5
34,12,"The packaging was great, and it arrived quickly. No complaints!",2024-05-13,3.4
25,26,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024-07-29,1.9
30,70,"The product didn’t meet my expectations, but the return process was smooth and hassle-free.",2024-10-05,1.5
23,33,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024-06-30,3.3
11,63,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024-09-13,2.4
54,91,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024-09-15,2.0
75,92,"I use this product daily, and it has never let me down. A great investment!",2024-04-05,2.9
44,88,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024-02-01,4.0
98,51,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024-05-21,3.6
24,71,"The product didn’t meet my expectations, but the return process was smooth and hassle-free.",2024-01-20,2.4
18,19,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024-02-23,2.3
10,37,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024-06-15,3.2
53,20,"The packaging was great, and it arrived quickly. No complaints!",2024-03-09,1.4
44,65,I’ve recommended this to all my friends and family. It’s that good!,2024-04-20,1.7
74,5,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024-03-24,5.0
42,63,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024-02-08,3.1
34,14,"It’s a decent product, but I think there are better options out there in this price range.",2024-07-30,2.6
30,27,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024-05-15,4.3
62,46,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024-02-10,1.6
18,66,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024-03-08,2.5
75,49,"The product works fine, but there are minor issues that should be addressed in future versions.",2024-07-08,3.3
21,91,"I use this product daily, and it has never let me down. A great investment!",2024-09-27,3.8
16,84,I’ve recommended this to all my friends and family. It’s that good!,2024-06-21,4.0
64,1,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024-04-19,4.2
87,72,"The build quality is exceptional, and the ease of use makes it a must-have in any home.",2024-05-20,4.7
5,84,Not sure why I didn’t buy this sooner. It's worth every penny and more!,2024-06-11,1.2
86,23,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024-01-02,2.5
89,8,"It’s a decent product, but I think there are better options out there in this price range.",2024-07-06,3.4
45,78,"I was a bit skeptical at first, but after using it for a month, I can say it exceeded my expectations.",2024-10-06,1.1
100,72,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024-07-24,4.8
42,68,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024-03-27,2.8
62,15,"The product works fine, but there are minor issues that should be addressed in future versions.",2024-03-03,3.0
35,87,I love the sleek design and the fact that it works as advertised. Would highly recommend it!,2024-09-07,1.8
44,6,I was blown away by the customer service and the product’s performance. They have a customer for life!,2024-05-25,3.8
46,69,"It gets the job done, but it's not without its flaws. For the price, it’s a solid option.",2024-06-13,4.8
38,1,This product has really simplified my life! I use it daily and couldn’t be happier with its performance.,2024-07-05,2.4
40,7,"It’s great for everyday use, and the battery life is amazing. Couldn’t ask for a better experience.",2024-01-16,1.2
16,82,"The packaging was great, and it arrived quickly. No complaints!",2024-02-28,3.2
17,95,"The product works fine, but there are minor issues that should be addressed in future versions.",2024-04-26,3.9
13,20,"The product works fine, but there are minor issues that should be addressed in future versions.",2024-03-09,3.1
87,72,"The packaging was great, and it arrived quickly. No complaints!",2024-05-07,4.7
56,54,"The product didn’t meet my expectations, but the return process was smooth and hassle-free.",2024-09-25,2.9
64,26,"The product is well-designed, but the instructions could have been a bit clearer. Overall, very happy with it.",2024-03-23,3.7
